description,amount,category
Armstrong Inc,28.30,Dining Out
envisioneer enterprise architectures,63.77,Transport
Hancock Inc,77.81,Transport
strategize revolutionary e-business,90.89,Entertainment
Mckenzie PLC,53.77,Transport
re-intermediate global users,30.12,Entertainment
Maxwell Group,18.01,Groceries
e-enable clicks-and-mortar web services,43.81,Transport
"Smith, Reid and Harris",70.72,Transport
re-contextualize turn-key architectures,46.65,Healthcare
Baker-Dunlap,49.30,Groceries
brand vertical e-business,87.16,Dining Out
Hughes-Hicks,55.73,Dining Out
incentivize user-centric networks,55.73,Entertainment
Jenkins Inc,88.02,Groceries
matrix innovative methodologies,79.57,Transport
Farley-Perry,85.12,Healthcare
synthesize leading-edge solutions,71.76,Healthcare
"Jones, King and Delgado",16.78,Transport
whiteboard out-of-the-box networks,51.35,Groceries
"Johnson, Martin and Chandler",67.91,Transport
implement out-of-the-box infrastructures,66.98,Healthcare
"Haney, Murphy and Campbell",42.74,Entertainment
streamline proactive niches,66.68,Entertainment
Bryant-Powell,67.06,Groceries
re-contextualize revolutionary channels,53.69,Dining Out
Jackson-Garcia,41.27,Groceries
empower plug-and-play platforms,40.20,Groceries
Decker-Herman,88.98,Transport
leverage B2C technologies,14.36,Healthcare
Marquez Inc,72.91,Dining Out
integrate real-time ROI,49.21,Dining Out
Williams-Arnold,14.31,Dining Out
incubate end-to-end e-markets,43.86,Entertainment
Simmons LLC,86.09,Entertainment
engage next-generation infrastructures,91.29,Entertainment
Johnson-Zuniga,41.70,Healthcare
synthesize 24/365 eyeballs,18.32,Healthcare
Garcia-Richardson,66.21,Utilities
reinvent sticky platforms,60.23,Healthcare
Gonzalez-Mcclain,30.35,Utilities
synergize magnetic deliverables,44.55,Dining Out
Sawyer-Lopez,62.79,Utilities
transition scalable convergence,96.20,Healthcare
Hicks-Bruce,71.40,Dining Out
strategize turn-key mindshare,46.74,Entertainment
Hess-Stanley,92.81,Groceries
e-enable 24/7 eyeballs,24.40,Dining Out
"Mcbride, Benson and Hicks",99.56,Groceries
embrace vertical eyeballs,17.09,Entertainment
Bond PLC,78.74,Groceries
whiteboard B2C initiatives,32.06,Healthcare
"Clark, Weeks and Wood",13.93,Entertainment
enable seamless markets,18.33,Groceries
"Brooks, Lopez and Ford",62.15,Entertainment
redefine leading-edge vortals,52.20,Utilities
"Bryant, Brown and Cooley",94.09,Transport
grow mission-critical technologies,96.99,Transport
Cameron LLC,30.95,Entertainment
deliver bricks-and-clicks channels,65.06,Groceries
"Scott, Long and Tran",66.25,Utilities
seize seamless ROI,40.24,Entertainment
Wallace-Hicks,36.62,Groceries
synthesize cutting-edge users,90.71,Transport
"Villarreal, Salinas and Steele",34.07,Entertainment
productize bleeding-edge experiences,46.07,Utilities
"Ortiz, Lee and Diaz",31.21,Transport
engineer seamless web services,17.17,Groceries
Buckley Inc,41.30,Healthcare
strategize seamless e-business,29.37,Dining Out
"Hancock, Herrera and Sheppard",86.37,Dining Out
transition e-business eyeballs,17.75,Healthcare
"Murray, Keith and Farmer",66.93,Utilities
scale rich infrastructures,45.69,Groceries
"Lozano, Fitzgerald and Hebert",25.82,Healthcare
harness distributed architectures,54.88,Dining Out
Pierce-Cobb,79.35,Entertainment
grow open-source info-mediaries,58.00,Groceries
Matthews-Adkins,64.56,Entertainment
brand one-to-one bandwidth,36.89,Transport
White PLC,34.91,Utilities
seize collaborative functionalities,90.20,Healthcare
Castro-Morris,44.29,Entertainment
incentivize magnetic content,35.58,Groceries
Mccullough and Sons,81.98,Entertainment
cultivate synergistic e-services,90.29,Dining Out
Moore-Humphrey,66.31,Groceries
visualize value-added metrics,68.18,Utilities
Clements-Guzman,25.93,Dining Out
target next-generation supply-chains,37.86,Healthcare
"Jenkins, Wells and Meyer",11.24,Dining Out
synthesize holistic e-tailers,86.05,Transport
"Nguyen, Brown and Beasley",67.33,Utilities
seize turn-key convergence,23.01,Utilities
"Hopkins, Flores and Graham",45.96,Dining Out
brand visionary bandwidth,64.63,Dining Out
"Acosta, York and Williams",91.38,Dining Out
expedite 24/365 eyeballs,83.72,Dining Out
"Moreno, Cunningham and Yu",84.42,Dining Out
repurpose 24/7 action-items,24.59,Entertainment
Dominguez and Sons,43.30,Healthcare
transition frictionless applications,45.58,Transport
"Duran, Richardson and Figueroa",24.15,Entertainment
matrix bleeding-edge content,74.15,Entertainment
"Wilkerson, Lopez and Costa",41.44,Healthcare
redefine visionary systems,34.34,Entertainment
Gallagher and Sons,57.65,Healthcare
enable distributed synergies,63.60,Dining Out
Wheeler Inc,86.17,Transport
drive clicks-and-mortar networks,56.84,Groceries
Rasmussen Inc,53.33,Dining Out
syndicate clicks-and-mortar portals,93.94,Entertainment
Castillo Group,44.00,Healthcare
synergize transparent web-readiness,43.06,Groceries
Baker Group,94.29,Transport
mesh efficient niches,99.64,Entertainment
Floyd-Porter,72.95,Healthcare
harness compelling web-readiness,36.65,Healthcare
"Robbins, Greer and White",43.28,Healthcare
exploit value-added vortals,48.92,Groceries
Hodges Inc,78.14,Healthcare
enable front-end convergence,36.46,Dining Out
Higgins-Roberts,60.15,Utilities
embrace back-end e-services,87.56,Utilities
Fisher-Fowler,31.79,Healthcare
enhance interactive convergence,85.60,Transport
"Williams, Espinoza and Harris",13.20,Groceries
exploit 24/365 infrastructures,89.14,Entertainment
"Cook, Snyder and Mendoza",72.83,Groceries
synergize viral functionalities,93.10,Entertainment
"Watkins, Martinez and Wells",31.99,Dining Out
optimize strategic e-business,13.76,Dining Out
Rodriguez-Freeman,10.10,Healthcare
streamline out-of-the-box web services,76.68,Groceries
Reed-Mcintosh,39.63,Healthcare
transition 24/365 web services,70.76,Groceries
"Thompson, Harris and Butler",39.64,Utilities
unleash dynamic solutions,67.49,Dining Out
"Ward, Wright and Rodriguez",31.03,Healthcare
matrix cutting-edge users,77.69,Groceries
"Craig, Hudson and Wolf",74.57,Groceries
enhance turn-key infrastructures,84.97,Entertainment
Haley PLC,20.32,Groceries
harness proactive supply-chains,44.45,Dining Out
Ward Group,56.16,Entertainment
synergize bricks-and-clicks methodologies,55.30,Groceries
"Lyons, Norris and Bishop",52.51,Transport
syndicate 24/365 schemas,16.89,Transport
Miller-Miller,58.63,Transport
synergize rich vortals,99.92,Transport
Pratt Inc,58.52,Utilities
envisioneer cutting-edge solutions,85.71,Utilities
Nguyen Inc,49.75,Entertainment
engineer clicks-and-mortar supply-chains,31.44,Transport
Green-Hayes,65.78,Groceries
generate sticky initiatives,60.44,Healthcare
"Flores, Thomas and Acosta",67.17,Dining Out
envisioneer global experiences,67.05,Utilities
Hall-Archer,80.79,Dining Out
empower B2B methodologies,33.71,Groceries
Sanchez-Vega,63.23,Healthcare
incentivize killer networks,96.39,Groceries
"Reynolds, Wade and Johnston",94.63,Dining Out
morph collaborative applications,98.30,Entertainment
Moore PLC,48.99,Groceries
evolve 24/7 users,18.61,Healthcare
Carrillo LLC,97.65,Healthcare
cultivate efficient synergies,55.41,Groceries
Parks-Johnson,48.98,Groceries
re-intermediate turn-key e-commerce,50.98,Groceries
Benitez and Sons,51.73,Dining Out
utilize cross-platform e-tailers,35.06,Dining Out
"Perry, Evans and Stewart",89.73,Dining Out
brand plug-and-play experiences,95.93,Healthcare
Wright-Adams,60.00,Dining Out
disintermediate out-of-the-box convergence,43.43,Transport
"Hill, Neal and Harrell",13.51,Utilities
incubate cross-media mindshare,33.23,Entertainment
"Rogers, Garrett and Clark",75.26,Healthcare
transform extensible systems,68.95,Dining Out
Mcdaniel Inc,65.56,Transport
re-contextualize virtual channels,42.04,Healthcare
Guerrero-Hunter,51.92,Healthcare
incentivize ubiquitous e-commerce,89.33,Healthcare
"Bryant, Kramer and Hanna",88.11,Entertainment
unleash B2B partnerships,25.55,Transport
"Mitchell, Gonzalez and Stout",81.49,Utilities
exploit cutting-edge schemas,25.84,Utilities
Martinez Ltd,69.91,Dining Out
target wireless users,17.94,Entertainment
"Smith, Obrien and Johnson",17.75,Healthcare
target best-of-breed channels,89.00,Utilities
Wilson-Allen,11.34,Utilities
seize virtual markets,75.17,Entertainment
"Duran, Phillips and Delgado",12.66,Groceries
maximize compelling e-business,36.01,Dining Out
"Baker, West and Blake",38.93,Utilities
mesh leading-edge methodologies,82.17,Healthcare
Johnson-Snyder,56.40,Healthcare
transition collaborative platforms,87.51,Transport
Roach-Johnson,78.78,Entertainment
whiteboard wireless deliverables,53.02,Transport
"Jones, Alvarado and Mckenzie",91.69,Dining Out
orchestrate magnetic e-markets,54.63,Transport
Jones Group,45.46,Utilities
aggregate plug-and-play e-business,65.41,Healthcare
Harris-Shields,72.35,Utilities
revolutionize wireless info-mediaries,57.86,Transport
Chandler-Reed,35.88,Transport
redefine leading-edge applications,45.46,Entertainment
Thomas Ltd,28.13,Dining Out
empower real-time markets,93.34,Groceries
Hartman-Hardin,18.53,Entertainment
leverage ubiquitous technologies,79.46,Healthcare
Harris-Bullock,28.94,Healthcare
brand visionary e-business,48.24,Healthcare
Williams Ltd,12.71,Groceries
benchmark dot-com info-mediaries,19.13,Transport
Robinson Inc,80.51,Dining Out
facilitate virtual synergies,27.59,Utilities
Benton Group,54.25,Utilities
morph scalable content,27.75,Groceries
"Bond, Chavez and Luna",88.33,Entertainment
transition integrated convergence,11.93,Entertainment
"Allen, Jones and Moore",23.47,Entertainment
transform viral methodologies,98.07,Transport
Keller PLC,91.72,Transport
utilize e-business technologies,48.77,Utilities
King-Brown,62.06,Transport
harness sticky action-items,49.38,Utilities
Moreno-Butler,22.88,Groceries
re-intermediate bleeding-edge supply-chains,93.70,Entertainment
Shepherd Inc,31.24,Transport
grow robust relationships,68.94,Groceries
Brown-Benton,15.65,Transport
implement vertical applications,29.80,Entertainment
Sanders-Anderson,51.62,Utilities
benchmark ubiquitous platforms,99.16,Healthcare
Reynolds LLC,22.63,Entertainment
harness sticky infrastructures,73.79,Transport
Kirk-Bowman,13.45,Groceries
cultivate frictionless synergies,57.48,Utilities
Carlson-Gardner,86.34,Entertainment
scale enterprise ROI,19.69,Utilities
Edwards Group,67.91,Dining Out
generate bleeding-edge schemas,54.13,Utilities
Barnes Ltd,45.04,Dining Out
facilitate collaborative niches,42.46,Groceries
White Group,66.06,Entertainment
facilitate robust web-readiness,26.84,Dining Out
Bullock-Maddox,77.46,Entertainment
whiteboard B2B users,96.25,Utilities
Juarez Inc,19.88,Utilities
architect extensible channels,73.11,Healthcare
Yoder LLC,66.48,Entertainment
drive efficient e-markets,88.59,Entertainment
Fitzgerald and Sons,84.24,Entertainment
utilize B2B relationships,26.13,Entertainment
Deleon Ltd,33.55,Groceries
reinvent wireless systems,65.55,Utilities
"Rivera, Dominguez and Meyer",89.27,Dining Out
productize intuitive functionalities,87.39,Healthcare
Foster LLC,19.20,Utilities
scale user-centric experiences,25.09,Entertainment
"Martin, Smith and Small",75.08,Transport
redefine customized portals,72.10,Utilities
Smith Group,99.43,Groceries
utilize efficient channels,65.98,Dining Out
Jones-Estrada,12.43,Dining Out
streamline intuitive models,44.09,Entertainment
"Stokes, Figueroa and Griffin",35.24,Utilities
exploit transparent solutions,99.30,Utilities
Berger-Taylor,62.68,Entertainment
empower virtual vortals,74.68,Transport
Cunningham-Jackson,82.54,Groceries
disintermediate best-of-breed paradigms,55.20,Groceries
Nelson and Sons,76.65,Healthcare
enable sticky portals,11.23,Entertainment
"Molina, Wilson and Benitez",20.50,Healthcare
redefine wireless info-mediaries,33.07,Transport
Acosta-Carlson,47.40,Healthcare
generate killer convergence,20.71,Groceries
"Arias, Gonzalez and Espinoza",60.62,Healthcare
orchestrate collaborative functionalities,55.51,Dining Out
"Johnson, Moore and Lin",93.36,Groceries
exploit virtual niches,70.74,Transport
Daniels-Paul,92.67,Dining Out
strategize seamless schemas,30.93,Utilities
"Jones, Johnson and Cooper",13.91,Healthcare
embrace cutting-edge e-commerce,30.61,Entertainment
Lewis-Adams,50.98,Entertainment
architect cross-platform e-commerce,77.45,Transport
Clark-Olsen,54.38,Dining Out
syndicate cross-media eyeballs,44.48,Utilities
"Morris, Huang and Rodriguez",54.97,Dining Out
e-enable granular functionalities,48.33,Transport
"Alvarez, Strong and Richards",71.87,Dining Out
disintermediate frictionless channels,31.72,Entertainment
"Williams, Garcia and Rice",47.07,Utilities
streamline dynamic experiences,71.44,Groceries
Wiggins-Johnson,88.95,Entertainment
generate holistic infrastructures,92.71,Transport
Jones and Sons,56.16,Utilities
leverage granular vortals,78.17,Healthcare
Lin-Lopez,56.16,Entertainment
aggregate leading-edge systems,62.21,Transport
"Ortega, Gill and Turner",43.49,Entertainment
generate B2C portals,79.97,Dining Out
"Kennedy, Savage and Jones",35.88,Utilities
visualize compelling solutions,58.16,Utilities
"James, Houston and Baker",40.78,Utilities
syndicate distributed partnerships,94.41,Healthcare
Young Ltd,36.03,Transport
harness end-to-end e-commerce,68.91,Dining Out
"Nichols, Wright and Day",40.82,Healthcare
mesh sticky e-markets,82.83,Entertainment
Hughes Ltd,77.34,Utilities
iterate global applications,99.95,Groceries
"Moore, Washington and Price",35.49,Healthcare
embrace cutting-edge channels,35.19,Entertainment
"Roberts, Castro and Brown",51.68,Transport
utilize strategic relationships,66.52,Groceries
"Hayes, Williams and Rogers",37.69,Transport
grow visionary platforms,38.75,Dining Out
"Johnston, Torres and Santiago",44.27,Transport
incubate distributed supply-chains,67.18,Dining Out
"Smith, Wright and Silva",58.52,Healthcare
scale sticky e-services,27.49,Healthcare
Russell-Ballard,49.45,Dining Out
transform strategic initiatives,20.67,Entertainment
"Chase, Williams and Banks",40.48,Healthcare
leverage customized metrics,34.52,Utilities
"Yang, Whitney and Freeman",55.98,Dining Out
streamline extensible eyeballs,26.98,Utilities
Kim-Boyd,79.53,Entertainment
syndicate enterprise bandwidth,39.74,Groceries
Parker-Medina,85.57,Transport
maximize seamless e-commerce,54.07,Transport
Howard Inc,30.07,Transport
transform open-source niches,93.07,Utilities
Burch Group,89.15,Groceries
disintermediate extensible initiatives,34.24,Healthcare
Johnson-Brown,19.46,Transport
generate enterprise eyeballs,13.21,Healthcare
English-Huang,59.18,Healthcare
cultivate compelling action-items,28.90,Dining Out
Miller and Sons,34.55,Transport
maximize integrated info-mediaries,22.97,Utilities
Washington PLC,50.97,Entertainment
productize end-to-end networks,82.30,Utilities
Lewis-Smith,96.59,Healthcare
aggregate visionary paradigms,49.89,Transport
Hernandez PLC,30.48,Entertainment
architect impactful e-tailers,64.96,Utilities
Taylor LLC,58.04,Entertainment
e-enable innovative synergies,27.14,Entertainment
Yu Ltd,33.70,Groceries
generate distributed e-services,31.20,Groceries
Reed-Anderson,83.29,Utilities
extend holistic vortals,80.82,Healthcare
"Lane, Snyder and Mcmillan",16.77,Entertainment
re-contextualize virtual systems,96.79,Groceries
Francis Inc,13.66,Dining Out
extend mission-critical synergies,78.82,Transport
"Spears, Campbell and Williamson",46.67,Transport
innovate rich web services,53.73,Dining Out
"Anderson, Snyder and Berger",15.37,Dining Out
enable transparent communities,21.33,Healthcare
Tucker and Sons,83.42,Groceries
evolve visionary info-mediaries,15.29,Dining Out
Benson-Moore,90.70,Healthcare
incubate open-source architectures,63.32,Dining Out
Kidd Group,50.72,Entertainment
re-contextualize sticky action-items,91.19,Entertainment
Garcia Ltd,88.97,Healthcare
evolve intuitive models,30.15,Transport
"Moss, Armstrong and Vega",28.78,Groceries
morph value-added e-commerce,83.93,Groceries
Miller-Chambers,70.84,Entertainment
aggregate transparent mindshare,94.89,Healthcare
Smith-Brown,55.77,Transport
architect user-centric partnerships,34.48,Dining Out
"Ferrell, Parsons and Galloway",31.29,Groceries
extend value-added paradigms,67.19,Entertainment
Bradley-Bass,71.10,Transport
innovate leading-edge partnerships,92.28,Healthcare
Schultz-Rivera,33.32,Entertainment
productize granular markets,81.03,Dining Out
"Miller, Graham and Graham",23.83,Utilities
brand interactive markets,43.28,Entertainment
Hill-Zhang,13.93,Entertainment
reinvent end-to-end models,17.20,Utilities
"Rodgers, Hicks and Thornton",88.34,Dining Out
embrace granular schemas,51.64,Dining Out
Mcneil-Rosario,22.09,Entertainment
strategize intuitive deliverables,63.62,Entertainment
Howard Ltd,21.19,Healthcare
implement 24/365 relationships,59.72,Groceries
Barrett-Thompson,73.17,Utilities
enhance sticky niches,94.44,Entertainment
Mckinney-White,47.43,Groceries
grow global interfaces,54.12,Dining Out
"Smith, Cabrera and Pruitt",28.95,Utilities
transform holistic web services,94.80,Utilities
King Inc,84.45,Transport
iterate real-time e-commerce,34.28,Groceries
"Boyd, Moreno and Lamb",33.05,Transport
redefine vertical action-items,12.60,Entertainment
Moore-Jones,27.88,Dining Out
strategize robust platforms,93.19,Healthcare
Cook-Lopez,39.42,Entertainment
optimize magnetic portals,19.42,Transport
Wolfe Ltd,17.39,Dining Out
maximize integrated supply-chains,93.67,Transport
"Myers, Caldwell and Reese",86.69,Entertainment
redefine 24/7 convergence,12.51,Utilities
"Walton, Klein and Everett",26.47,Groceries
mesh rich e-services,48.34,Groceries
Harris-Rice,17.97,Healthcare
incubate back-end systems,20.83,Utilities
Sellers Ltd,48.66,Entertainment
synergize revolutionary initiatives,91.33,Healthcare
Raymond and Sons,71.55,Groceries
deliver bricks-and-clicks e-markets,81.09,Groceries
Stevens-Holt,36.81,Utilities
aggregate front-end communities,31.92,Dining Out
"Lopez, Hendrix and Cruz",63.25,Groceries
synergize web-enabled infrastructures,17.93,Groceries
Reed-Santos,37.64,Utilities
mesh user-centric applications,71.18,Utilities
"Fitzgerald, Sanders and King",27.02,Entertainment
empower revolutionary web-readiness,75.67,Entertainment
Roman-Carlson,72.00,Dining Out
generate cutting-edge markets,38.74,Entertainment
Li Group,34.12,Transport
deploy B2B web services,40.43,Dining Out
"Mullins, Thomas and Wu",90.24,Transport
transition dot-com e-commerce,65.24,Utilities
"Rogers, Mills and Sanford",93.27,Entertainment
productize frictionless bandwidth,42.71,Entertainment
Cook PLC,90.91,Dining Out
grow cutting-edge channels,96.05,Groceries
"Murphy, Howard and Martinez",99.67,Entertainment
embrace extensible web services,65.83,Entertainment
"Holland, Alvarez and Montoya",20.37,Healthcare
seize proactive e-tailers,96.52,Dining Out
"Patterson, Davis and Montgomery",29.48,Utilities
architect customized info-mediaries,72.52,Entertainment
Mccoy LLC,53.84,Transport
engineer sticky functionalities,54.68,Groceries
Murray Ltd,65.39,Healthcare
reinvent holistic interfaces,76.84,Entertainment
"Jackson, Knox and David",50.82,Entertainment
utilize e-business mindshare,65.48,Utilities
Mills-Russell,55.96,Entertainment
re-contextualize holistic e-commerce,25.68,Groceries
"Cox, Johnson and Kelly",96.37,Entertainment
benchmark one-to-one info-mediaries,34.09,Healthcare
"Navarro, Li and Lopez",14.36,Healthcare
benchmark end-to-end e-tailers,40.37,Utilities
Cameron-Maxwell,12.72,Dining Out
architect user-centric users,53.25,Transport
"Spencer, Davis and Deleon",62.11,Utilities
revolutionize vertical mindshare,84.68,Entertainment
Austin-Gray,60.14,Dining Out
grow interactive networks,51.48,Utilities
Drake-Warner,12.95,Transport
enhance intuitive content,94.44,Entertainment
Rojas-Fox,40.96,Healthcare
monetize collaborative vortals,56.18,Groceries
Washington-Fletcher,47.53,Groceries
re-intermediate interactive paradigms,44.49,Entertainment
"Martinez, Franklin and Davies",80.65,Transport
visualize 24/365 infrastructures,65.86,Utilities
Klein-Pugh,53.53,Utilities
maximize 24/365 portals,22.99,Healthcare
Soto-Schultz,12.93,Utilities
target magnetic architectures,17.69,Entertainment
Stone-Sharp,24.98,Groceries
optimize distributed schemas,27.34,Groceries
Harrison-Moss,14.53,Dining Out
cultivate transparent technologies,61.00,Entertainment
Hogan and Sons,28.38,Healthcare
integrate seamless systems,12.73,Dining Out
Lopez Group,75.50,Entertainment
incubate proactive applications,24.16,Groceries
Landry and Sons,45.89,Entertainment
redefine front-end ROI,78.19,Healthcare
"Robertson, Mcdonald and Case",18.66,Utilities
strategize distributed vortals,11.14,Entertainment
"Peterson, Gilbert and Grant",80.69,Groceries
whiteboard intuitive action-items,94.84,Healthcare
"Lopez, Rogers and Williamson",73.83,Utilities
deliver 24/7 functionalities,28.44,Groceries
Baker and Sons,64.28,Dining Out
seize viral markets,26.54,Transport
"Gray, Hunter and Edwards",75.24,Entertainment
streamline cross-platform ROI,98.49,Healthcare
"Murphy, Williams and Murray",65.35,Entertainment
target dot-com web services,86.09,Transport
"Harris, Hart and Stephens",42.58,Utilities
e-enable visionary metrics,84.47,Utilities
Smith Ltd,36.50,Groceries
strategize plug-and-play methodologies,44.37,Healthcare
Davenport-Hood,35.18,Transport
architect bricks-and-clicks supply-chains,61.45,Entertainment
Torres Group,87.97,Dining Out
matrix end-to-end communities,88.70,Groceries
Gomez Inc,66.63,Transport
enhance frictionless niches,32.05,Groceries
"Johnson, Chase and Hansen",36.42,Dining Out
e-enable 24/7 partnerships,61.77,Utilities
"Park, Nelson and Austin",51.13,Entertainment
benchmark global partnerships,19.75,Entertainment
Duncan Inc,92.33,Utilities
harness efficient e-business,80.26,Utilities
Cain LLC,41.97,Healthcare
harness seamless portals,74.31,Groceries
"Lawrence, Mcintosh and Holland",53.43,Utilities
syndicate efficient platforms,97.84,Entertainment
Brandt-Miller,94.52,Utilities
brand dynamic e-business,54.64,Utilities
Brooks-Dunn,19.21,Healthcare
e-enable rich networks,90.92,Healthcare
Barnett Group,21.00,Transport
target distributed info-mediaries,70.58,Healthcare
"Nash, Owen and Martin",30.62,Groceries
maximize turn-key schemas,12.26,Healthcare
Martin PLC,67.63,Utilities
disintermediate integrated schemas,22.65,Utilities
"Nguyen, Fisher and Newton",77.53,Transport
scale transparent schemas,44.01,Entertainment
Hernandez-Reed,86.25,Utilities
harness virtual e-services,33.64,Healthcare
Sawyer Group,70.78,Groceries
empower turn-key partnerships,24.58,Utilities
"Lowery, Shaw and Gonzalez",16.41,Utilities
expedite ubiquitous technologies,58.74,Entertainment
"Williams, Park and Reed",66.78,Groceries
re-contextualize value-added models,78.01,Groceries
Sanders Group,30.52,Utilities
harness integrated partnerships,41.13,Dining Out
Arellano PLC,57.02,Transport
deliver dot-com mindshare,79.43,Utilities
Brown-Hardin,30.68,Groceries
incubate integrated architectures,80.42,Dining Out
Gordon-Soto,65.29,Entertainment
re-intermediate intuitive partnerships,69.41,Healthcare
Rubio-Phillips,56.88,Entertainment
optimize user-centric web services,16.79,Entertainment
Velez Ltd,87.35,Groceries
evolve revolutionary partnerships,15.11,Dining Out
Martin Group,42.43,Healthcare
target seamless vortals,96.17,Groceries
Melton LLC,28.91,Healthcare
redefine integrated e-markets,61.94,Dining Out
Jackson-Williams,69.64,Groceries
e-enable plug-and-play e-business,76.42,Transport
Hurst Inc,55.23,Utilities
revolutionize holistic functionalities,68.51,Utilities
"Mitchell, Levy and Peterson",72.17,Groceries
envisioneer clicks-and-mortar e-markets,60.30,Dining Out
Moreno-Torres,37.18,Healthcare
transform enterprise infrastructures,61.27,Dining Out
"Johnson, Atkinson and Fisher",92.54,Groceries
empower turn-key content,78.00,Healthcare
Clark PLC,25.02,Entertainment
disintermediate end-to-end applications,59.19,Utilities
Dawson LLC,96.31,Healthcare
transition integrated web-readiness,30.50,Healthcare
"Smith, Barrett and Lee",31.01,Transport
architect wireless e-services,94.62,Utilities
"Wilson, Walsh and Fletcher",20.09,Entertainment
syndicate impactful niches,18.99,Dining Out
"Crawford, Bates and Reyes",54.92,Groceries
maximize bleeding-edge schemas,24.43,Utilities
Watkins-Williams,99.54,Entertainment
redefine revolutionary vortals,72.20,Utilities
Murray-Williams,87.97,Groceries
facilitate robust systems,55.51,Dining Out
Larson-Thompson,40.00,Utilities
extend frictionless action-items,41.23,Dining Out
Martinez and Sons,96.61,Utilities
repurpose rich synergies,66.04,Entertainment
"Robinson, Villegas and Fowler",99.28,Transport
empower world-class synergies,65.93,Dining Out
"Lopez, Brown and Roberts",40.50,Groceries
seize efficient technologies,10.33,Transport
"Meyers, Jackson and Lawson",25.99,Transport
evolve distributed e-markets,30.92,Utilities
Vargas Group,69.87,Transport
engage global ROI,62.96,Entertainment
Cook Ltd,74.57,Healthcare
redefine turn-key e-tailers,12.92,Healthcare
Campos LLC,94.94,Utilities
whiteboard mission-critical networks,52.94,Utilities
Keller-Diaz,96.77,Entertainment
generate e-business portals,90.67,Transport
Garcia PLC,51.80,Healthcare
evolve world-class initiatives,19.55,Transport
Lloyd-Spencer,34.92,Dining Out
expedite enterprise relationships,80.12,Entertainment
Dorsey-Bishop,19.27,Dining Out
re-contextualize global partnerships,25.36,Transport
"Snow, Thompson and Beard",33.20,Utilities
empower dot-com niches,11.05,Dining Out
Lewis-Meyer,99.14,Groceries
transform robust relationships,71.16,Utilities
Ortega-Lopez,46.43,Groceries
incentivize transparent partnerships,24.64,Entertainment
"Jimenez, Webster and Nelson",66.88,Dining Out
engage granular schemas,95.08,Healthcare
Washington-Lewis,40.29,Healthcare
target impactful ROI,47.56,Entertainment
Brewer Ltd,79.93,Healthcare
optimize dot-com convergence,36.68,Dining Out
Perez-Hoffman,38.45,Entertainment
facilitate visionary communities,90.71,Groceries
"Rodriguez, Gregory and Daniel",71.12,Healthcare
innovate granular e-markets,51.85,Entertainment
Smith-Ruiz,85.57,Utilities
enable proactive paradigms,37.71,Utilities
Gaines LLC,36.61,Transport
extend next-generation solutions,47.66,Entertainment
Jackson-Anderson,65.05,Transport
re-contextualize intuitive partnerships,99.02,Healthcare
Clark and Sons,42.95,Transport
engineer integrated bandwidth,22.68,Entertainment
"Johnson, Stevens and Peterson",59.70,Dining Out
incentivize efficient e-commerce,27.31,Groceries
"Travis, Odom and Williams",16.99,Healthcare
integrate one-to-one convergence,72.93,Dining Out
Kelley Inc,93.15,Dining Out
disintermediate turn-key technologies,67.54,Utilities
Acevedo-Wall,70.43,Utilities
syndicate distributed e-tailers,78.26,Transport
Ortiz Ltd,37.27,Healthcare
monetize compelling niches,94.35,Entertainment
Jones-Mendoza,59.68,Healthcare
maximize killer portals,89.61,Utilities
Jenkins and Sons,66.41,Groceries
reinvent bricks-and-clicks networks,14.62,Groceries
Simmons Ltd,60.03,Utilities
optimize web-enabled ROI,49.31,Transport
Villarreal-White,65.64,Utilities
extend compelling web services,37.52,Transport
Jackson Inc,38.83,Utilities
monetize one-to-one architectures,49.04,Transport
"Collins, Gonzales and Murray",18.68,Utilities
cultivate real-time vortals,92.12,Dining Out
Fitzgerald-Crawford,75.66,Entertainment
architect global interfaces,11.14,Dining Out
Avila Group,13.34,Transport
unleash dot-com infrastructures,74.57,Transport
Davis Group,55.14,Groceries
target wireless markets,31.30,Utilities
Ingram-Moore,69.65,Dining Out
enhance cross-platform functionalities,91.20,Entertainment
"Dalton, Carpenter and Smith",80.79,Utilities
drive clicks-and-mortar convergence,35.13,Dining Out
Rogers Ltd,39.24,Transport
monetize intuitive supply-chains,59.13,Groceries
Golden Group,58.71,Groceries
transform frictionless ROI,42.65,Healthcare
"Garrett, Shepard and Braun",10.34,Entertainment
scale user-centric deliverables,57.13,Dining Out
Robinson-Gilmore,28.05,Transport
unleash scalable technologies,38.19,Healthcare
Burnett-Duncan,54.48,Transport
expedite sticky metrics,60.80,Healthcare
"Black, Vasquez and Lewis",11.52,Groceries
re-intermediate 24/365 networks,91.97,Dining Out
"Calhoun, Hill and Rose",68.57,Groceries
productize impactful markets,13.77,Groceries
"Harrington, Jones and Calderon",94.06,Entertainment
benchmark front-end markets,16.53,Dining Out
Weber Inc,25.27,Transport
evolve clicks-and-mortar architectures,71.43,Transport
"Murphy, Carlson and White",16.95,Groceries
deliver viral interfaces,68.67,Utilities
Beard Group,86.49,Entertainment
transform vertical web-readiness,81.71,Utilities
Tran-Randall,64.10,Utilities
transition customized web-readiness,11.95,Transport
Hickman PLC,10.48,Groceries
empower ubiquitous portals,81.08,Groceries
"Perez, Nguyen and Ruiz",96.27,Healthcare
